"level","priority_score","event_key","latest_title","category","max_hot","count_1d","count_3d","count_7d","count_15d","count_30d","count_90d","count_180d","count_365d","risk","suggested_action","tags"
"S","170.51","小米汽车业务调整","曝小米汽车将推独立子品牌寻天","tech","710000","2","2","2","2","2","2","2","2","low","must_publish_today","小米汽车;新能源车;品牌;商业"
"S","166.25","榴莲仅退款纠纷","榴莲仅退款买家被行拘","social","2660000","3","3","3","3","3","3","3","3","medium","must_publish_today","仅退款;消费者纠纷;平台治理;榴莲"
"S","163.63","世界杯转播权","央视或低价拿下世界杯转播权","sports","580000","2","2","2","2","2","2","2","2","low","must_publish_today","世界杯;转播权;央视;体育商业"
"S","161.19","汉坦病毒疫情","台湾出现汉坦病毒致死病例","health","830000","3","3","3","3","3","3","3","3","medium","must_publish_today","汉坦病毒;公共卫生;传染病;台湾"
